func_sexo;func_idade;func_racacor;func_escolaridade;func_uf;func_deficiencia;empresa_porte;empresa_setor;contrato_horastrabalho;contrato_salario;turnover_apos_1_ano
MASCULINO;24;AMARELA-BRANCA;MEDIO COMPLETO;RN;NAO;DE 10 A 19;Serviços;44;1750,65;SIM
MASCULINO;24;SEM INFO;MEDIO COMPLETO;BA;NAO;ATE 4;Comércio;44;1002,3;NAO
FEMININO;25;PRETA-PARDA;MEDIO COMPLETO;SE;NAO;DE 20 A 49;Comércio;44;1370,14;NAO
MASCULINO;54;PRETA-PARDA;MEDIO COMPLETO;PE;NAO;DE 20 A 49;Comércio;44;1854,68;SIM
MASCULINO;40;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 20 A 49;Comércio;0;1126,23;NAO
FEMININO;28;AMARELA-BRANCA;MEDIO COMPLETO;BA;NAO;ATE 4;Comércio;44;1099,99;NAO
MASCULINO;34;SEM INFO;ANALFABETO-FUND_INCOMPLETO;BA;NAO;DE 5 A 9;Comércio;44;998,03;NAO
FEMININO;23;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;1000 OU MAIS;Serviços;36;1547,93;SIM
MASCULINO;37;PRETA-PARDA;MEDIO COMPLETO;PE;NAO;DE 500 A 999;Serviços;44;3707,85;SIM
FEMININO;28;PRETA-PARDA;SUPERIOR_COMPLETO;PE;NAO;DE 50 A 99;Comércio;44;1377,05;NAO
MASCULINO;23;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 20 A 49;Comércio;0;2574,2;SIM
MASCULINO;39;PRETA-PARDA;MEDIO COMPLETO;PE;NAO;DE 100 A 249;Comércio;44;4527,1;SIM
FEMININO;40;PRETA-PARDA;MEDIO COMPLETO;PE;NAO;DE 10 A 19;Comércio;44;1089,99;NAO
FEMININO;53;SEM INFO;SUPERIOR_COMPLETO;RN;NAO;ATE 4;Comércio;44;5112,61;SIM
MASCULINO;51;PRETA-PARDA;ANALFABETO-FUND_INCOMPLETO;BA;NAO;DE 20 A 49;Construçao civil;44;1019,93;NAO
MASCULINO;37;SEM INFO;MEDIO COMPLETO;BA;NAO;DE 5 A 9;Comércio;44;963,68;NAO
FEMININO;26;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;DE 500 A 999;Serviços;42;2038,07;SIM
MASCULINO;27;AMARELA-BRANCA;ANALFABETO-FUND_INCOMPLETO;BA;NAO;DE 500 A 999;Construçao civil;43;1024;NAO
FEMININO;20;PRETA-PARDA;MEDIO COMPLETO;PE;NAO;DE 20 A 49;Comércio;44;1412,42;NAO
MASCULINO;26;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;DE 50 A 99;Serviços;44;1060,81;NAO
MASCULINO;41;SEM INFO;ANALFABETO-FUND_INCOMPLETO;BA;NAO;DE 10 A 19;Agricultura;44;2050;NAO
MASCULINO;24;SEM INFO;MEDIO COMPLETO;BA;NAO;ATE 4;Comércio;44;1111,8;NAO
MASCULINO;27;PRETA-PARDA;MEDIO COMPLETO;MA;NAO;DE 250 A 499;Serviços;44;1394,21;NAO
FEMININO;47;PRETA-PARDA;ANALFABETO-FUND_INCOMPLETO;PE;NAO;DE 500 A 999;Agricultura;44;1041;NAO
FEMININO;41;SEM INFO;MEDIO COMPLETO;BA;NAO;ATE 4;Serviços;44;1682,42;SIM
FEMININO;30;PRETA-PARDA;SUPERIOR_COMPLETO;BA;NAO;DE 100 A 249;Comércio;24;536,84;NAO
FEMININO;23;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 5 A 9;Comércio;42;1710,54;SIM
MASCULINO;33;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 100 A 249;Serviços;44;3883,63;SIM
FEMININO;36;PRETA-PARDA;MEDIO COMPLETO;PI;NAO;ATE 4;Serviços;22;520,01;NAO
FEMININO;22;PRETA-PARDA;FUND_COMPLETO-MEDIO_INCOMPLETO;BA;NAO;DE 20 A 49;Serviços;24;482,73;NAO
FEMININO;36;SEM INFO;FUND_COMPLETO-MEDIO_INCOMPLETO;CE;NAO;DE 50 A 99;Indústria;44;770,65;NAO
FEMININO;18;PRETA-PARDA;FUND_COMPLETO-MEDIO_INCOMPLETO;CE;NAO;1000 OU MAIS;Indústria;44;983,6;NAO
FEMININO;23;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 5 A 9;Serviços;30;1686,49;SIM
MASCULINO;29;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;DE 100 A 249;Comércio;44;1141,41;NAO
FEMININO;59;PRETA-PARDA;SUPERIOR_COMPLETO;BA;NAO;DE 20 A 49;Serviços;25;1033,57;NAO
FEMININO;22;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;1000 OU MAIS;Serviços;44;1366,24;SIM
FEMININO;20;PRETA-PARDA;FUND_COMPLETO-MEDIO_INCOMPLETO;BA;NAO;DE 20 A 49;Comércio;44;1003,58;NAO
FEMININO;31;AMARELA-BRANCA;MEDIO COMPLETO;PE;NAO;DE 20 A 49;Serviços;44;2082,22;SIM
